"TE","Total_False_Negatives","Proportion_False_Negatives","Total_True_positives","Proportion_True_Positives","Total_Candidate_Region_False_Negatives","Proportion_Candidate_Region_False_Negatives"
"INE_1",11,0.122222222222222,0,0,10,0.028735632183908
"Gypsy_2_Dsim",7,0.0777777777777778,0,0,7,0.0201149425287356
"F_element",5,0.0555555555555556,13,0.0373563218390805,2,0.00574712643678161
"FB4",5,0.0555555555555556,15,0.0431034482758621,5,0.014367816091954
"NOF",5,0.0555555555555556,0,0,4,0.0114942528735632
"P_element",5,0.0555555555555556,28,0.0804597701149425,4,0.0114942528735632
"1731",4,0.0444444444444444,0,0,4,0.0114942528735632
"Kepler",4,0.0444444444444444,0,0,4,0.0114942528735632
"blood",3,0.0333333333333333,6,0.0172413793103448,2,0.00574712643678161
"BS",3,0.0333333333333333,3,0.00862068965517241,2,0.00574712643678161
"roo",3,0.0333333333333333,46,0.132183908045977,3,0.00862068965517241
"1360",2,0.0222222222222222,0,0,2,0.00574712643678161
"297",2,0.0222222222222222,15,0.0431034482758621,1,0.0028735632183908
"Copia",2,0.0222222222222222,14,0.0402298850574713,2,0.00574712643678161
"Copia2",2,0.0222222222222222,0,0,2,0.00574712643678161
"gypsy12",2,0.0222222222222222,1,0.0028735632183908,1,0.0028735632183908
"HMS_Beagle",2,0.0222222222222222,2,0.00574712643678161,0,0
"HMS_Beagle2",2,0.0222222222222222,0,0,1,0.0028735632183908
"17_6",1,0.0111111111111111,2,0.00574712643678161,1,0.0028735632183908
"accord",1,0.0111111111111111,8,0.0229885057471264,1,0.0028735632183908
"Bari1",1,0.0111111111111111,1,0.0028735632183908,0,0
"Blastopia",1,0.0111111111111111,8,0.0229885057471264,1,0.0028735632183908
"Circe",1,0.0111111111111111,0,0,1,0.0028735632183908
"Doc",1,0.0111111111111111,8,0.0229885057471264,0,0
"G4",1,0.0111111111111111,0,0,1,0.0028735632183908
"G6",1,0.0111111111111111,1,0.0028735632183908,0,0
"GATE",1,0.0111111111111111,0,0,1,0.0028735632183908
"Gypsy_24_Dya",1,0.0111111111111111,4,0.0114942528735632,0,0
"gypsy8",1,0.0111111111111111,0,0,1,0.0028735632183908
"Invader3",1,0.0111111111111111,0,0,1,0.0028735632183908
"Max_element",1,0.0111111111111111,2,0.00574712643678161,0,0
"mdg1",1,0.0111111111111111,9,0.0258620689655172,0,0
"NewFam14",1,0.0111111111111111,0,0,1,0.0028735632183908
"pogo",1,0.0111111111111111,16,0.0459770114942529,0,0
"Quasimodo",1,0.0111111111111111,3,0.00862068965517241,0,0
"Rt1b",1,0.0111111111111111,4,0.0114942528735632,1,0.0028735632183908
"S_element",1,0.0111111111111111,1,0.0028735632183908,0,0
"Stalker2",1,0.0111111111111111,1,0.0028735632183908,1,0.0028735632183908
"Transpac",1,0.0111111111111111,6,0.0172413793103448,0,0
"3S18",0,0,4,0.0114942528735632,0,0
"412",0,0,9,0.0258620689655172,0,0
"BS2",0,0,5,0.014367816091954,0,0
"Burdock",0,0,4,0.0114942528735632,0,0
"diver",0,0,1,0.0028735632183908,0,0
"Doc6",0,0,5,0.014367816091954,0,0
"G_element",0,0,1,0.0028735632183908,0,0
"gypsy1",0,0,3,0.00862068965517241,0,0
"gypsy6",0,0,1,0.0028735632183908,0,0
"H",0,0,25,0.0718390804597701,0,0
"hopper",0,0,1,0.0028735632183908,0,0
"I_element",0,0,8,0.0229885057471264,0,0
"Idefix",0,0,1,0.0028735632183908,0,0
"Ivk",0,0,5,0.014367816091954,0,0
"jockey",0,0,44,0.126436781609195,0,0
"mdg3",0,0,3,0.00862068965517241,0,0
"Nomad",0,0,4,0.0114942528735632,0,0
"Rt1a",0,0,1,0.0028735632183908,0,0
"Stalker4",0,0,1,0.0028735632183908,0,0
"Tirant",0,0,5,0.014367816091954,0,0
