Feature	Built-in Importance	Permutation Importance	Permutation Std
159	0.049117	0.002919	0.000105
26	0.047337	0.000108	0.000021
156	0.037814	0.000952	0.000058
158	0.036591	0.000065	0.000000
27	0.034218	0.000000	0.000000
24	0.034105	0.000579	0.000036
72	0.033872	0.000000	0.000000
74	0.027682	0.000000	0.000000
14	0.020924	0.000223	0.000058
162	0.020760	0.000000	0.000000
86	0.020420	0.000000	0.000000
75	0.020410	0.000000	0.000000
25	0.020314	0.000088	0.000015
20	0.020140	0.001568	0.000058
2	0.019859	0.000157	0.000079
157	0.019735	0.000000	0.000000
73	0.019143	0.000105	0.000024
160	0.016389	0.000092	0.000043
151	0.016058	0.000000	0.000000
84	0.015910	0.000000	0.000000
62	0.014369	0.000000	0.000000
22	0.014301	0.001398	0.000118
122	0.014222	0.000000	0.000000
145	0.013949	0.000026	0.000013
150	0.012881	0.000000	0.000000
144	0.012358	0.000000	0.000000
128	0.012273	0.000000	0.000000
104	0.011597	0.000000	0.000000
161	0.010809	0.000000	0.000000
148	0.010501	0.000000	0.000000
66	0.009830	0.000000	0.000000
106	0.009821	0.000000	0.000000
163	0.009789	0.000065	0.000044
85	0.009551	0.000000	0.000000
164	0.009037	0.000033	0.000000
146	0.009037	0.000000	0.000000
120	0.008981	0.000000	0.000000
12	0.008795	0.000000	0.000000
0	0.007538	0.000000	0.000000
107	0.007498	0.000000	0.000000
87	0.007238	0.000000	0.000000
64	0.007126	0.000000	0.000000
125	0.006792	0.000000	0.000000
98	0.006678	0.000000	0.000000
67	0.006540	0.000000	0.000000
166	0.006262	0.000000	0.000000
42	0.005804	0.000000	0.000000
147	0.005460	0.000000	0.000000
130	0.005432	0.000000	0.000000
124	0.005051	0.000023	0.000029
132	0.004933	0.000000	0.000000
167	0.004670	0.000000	0.000000
83	0.004595	0.000111	0.000033
96	0.004276	0.000003	0.000010
134	0.004275	0.000000	0.000000
105	0.004063	0.000000	0.000000
3	0.004000	0.000000	0.000000
70	0.003965	0.000000	0.000000
110	0.003913	0.000000	0.000000
131	0.003902	0.000046	0.000033
32	0.003839	0.000000	0.000000
61	0.003824	0.000000	0.000000
76	0.003820	0.000033	0.000000
15	0.003785	0.000000	0.000000
135	0.003730	0.000000	0.000000
78	0.003693	0.000000	0.000000
1	0.003538	0.000000	0.000000
81	0.003503	0.000000	0.000000
108	0.003451	0.000000	0.000000
13	0.003435	0.000000	0.000000
80	0.003275	0.000000	0.000000
43	0.003160	0.000000	0.000000
68	0.003113	0.000000	0.000000
142	0.003112	0.000000	0.000000
63	0.003071	0.000026	0.000013
127	0.002984	0.000000	0.000000
65	0.002949	0.000000	0.000000
34	0.002851	0.000023	0.000015
126	0.002828	0.000000	0.000000
129	0.002788	0.000000	0.000000
82	0.002546	0.000000	0.000000
39	0.002533	0.000000	0.000000
38	0.002430	0.000000	0.000000
140	0.002289	0.000000	0.000000
71	0.002224	0.000000	0.000000
46	0.002031	0.000000	0.000000
50	0.002025	0.000000	0.000000
60	0.002017	0.000000	0.000000
100	0.002011	0.000000	0.000000
47	0.001995	0.000029	0.000010
111	0.001961	0.000000	0.000000
133	0.001899	0.000000	0.000000
10	0.001879	0.000000	0.000000
51	0.001859	0.000000	0.000000
40	0.001816	0.000000	0.000000
35	0.001806	0.000000	0.000000
69	0.001784	0.000000	0.000000
18	0.001782	0.000000	0.000000
102	0.001756	0.000000	0.000000
8	0.001742	0.000065	0.000000
152	0.001726	0.000000	0.000000
58	0.001722	0.000033	0.000000
123	0.001704	0.000000	0.000000
16	0.001686	0.000000	0.000000
56	0.001680	0.000000	0.000000
36	0.001646	0.000000	0.000000
41	0.001644	0.000000	0.000000
154	0.001599	0.000000	0.000000
149	0.001594	0.000000	0.000000
37	0.001525	0.000000	0.000000
118	0.001507	0.000000	0.000000
48	0.001495	0.000000	0.000000
165	0.001494	0.000000	0.000000
6	0.001492	0.000000	0.000000
44	0.001382	0.000000	0.000000
79	0.001328	0.000000	0.000000
109	0.001148	0.000000	0.000000
4	0.001130	0.000000	0.000000
45	0.001049	0.000000	0.000000
155	0.001023	0.000000	0.000000
116	0.000972	0.000000	0.000000
121	0.000945	0.000000	0.000000
77	0.000934	0.000000	0.000000
92	0.000920	0.000000	0.000000
119	0.000906	0.000000	0.000000
49	0.000905	0.000000	0.000000
94	0.000903	0.000000	0.000000
33	0.000694	0.000000	0.000000
59	0.000634	0.000000	0.000000
88	0.000611	0.000000	0.000000
