"TE","Total_False_Negatives","Proportion_False_Negatives","Total_True_positives","Proportion_True_Positives","Total_Candidate_Region_False_Negatives","Proportion_Candidate_Region_False_Negatives"
"INE_1",11,0.125,0,0,10,0.0285714285714286
"Gypsy_2_Dsim",7,0.0795454545454545,0,0,7,0.02
"FB4",6,0.0681818181818182,14,0.04,1,0.00285714285714286
"NOF",5,0.0568181818181818,0,0,4,0.0114285714285714
"1731",4,0.0454545454545455,0,0,4,0.0114285714285714
"blood",4,0.0454545454545455,5,0.0142857142857143,2,0.00571428571428571
"F_element",4,0.0454545454545455,14,0.04,1,0.00285714285714286
"Kepler",4,0.0454545454545455,0,0,4,0.0114285714285714
"BS",3,0.0340909090909091,3,0.00857142857142857,2,0.00571428571428571
"Copia",3,0.0340909090909091,13,0.0371428571428571,2,0.00571428571428571
"roo",3,0.0340909090909091,46,0.131428571428571,2,0.00571428571428571
"1360",2,0.0227272727272727,0,0,0,0
"297",2,0.0227272727272727,15,0.0428571428571429,1,0.00285714285714286
"Copia2",2,0.0227272727272727,0,0,2,0.00571428571428571
"gypsy12",2,0.0227272727272727,1,0.00285714285714286,1,0.00285714285714286
"HMS_Beagle",2,0.0227272727272727,2,0.00571428571428571,1,0.00285714285714286
"HMS_Beagle2",2,0.0227272727272727,0,0,1,0.00285714285714286
"Max_element",2,0.0227272727272727,1,0.00285714285714286,2,0.00571428571428571
"P_element",2,0.0227272727272727,31,0.0885714285714286,2,0.00571428571428571
"17_6",1,0.0113636363636364,2,0.00571428571428571,0,0
"accord",1,0.0113636363636364,8,0.0228571428571429,1,0.00285714285714286
"Blastopia",1,0.0113636363636364,8,0.0228571428571429,1,0.00285714285714286
"Circe",1,0.0113636363636364,0,0,1,0.00285714285714286
"G4",1,0.0113636363636364,0,0,1,0.00285714285714286
"G6",1,0.0113636363636364,1,0.00285714285714286,0,0
"GATE",1,0.0113636363636364,0,0,1,0.00285714285714286
"Gypsy_24_Dya",1,0.0113636363636364,4,0.0114285714285714,0,0
"gypsy8",1,0.0113636363636364,0,0,1,0.00285714285714286
"I_element",1,0.0113636363636364,7,0.02,0,0
"Invader3",1,0.0113636363636364,0,0,1,0.00285714285714286
"mdg1",1,0.0113636363636364,9,0.0257142857142857,1,0.00285714285714286
"NewFam14",1,0.0113636363636364,0,0,1,0.00285714285714286
"Quasimodo",1,0.0113636363636364,3,0.00857142857142857,0,0
"Rt1b",1,0.0113636363636364,4,0.0114285714285714,1,0.00285714285714286
"S_element",1,0.0113636363636364,1,0.00285714285714286,0,0
"Stalker2",1,0.0113636363636364,1,0.00285714285714286,1,0.00285714285714286
"Transpac",1,0.0113636363636364,6,0.0171428571428571,1,0.00285714285714286
"3S18",0,0,4,0.0114285714285714,0,0
"412",0,0,9,0.0257142857142857,0,0
"Bari1",0,0,2,0.00571428571428571,0,0
"BS2",0,0,5,0.0142857142857143,0,0
"Burdock",0,0,4,0.0114285714285714,0,0
"diver",0,0,1,0.00285714285714286,0,0
"Doc",0,0,9,0.0257142857142857,0,0
"Doc6",0,0,5,0.0142857142857143,0,0
"G_element",0,0,1,0.00285714285714286,0,0
"gypsy1",0,0,3,0.00857142857142857,0,0
"gypsy6",0,0,1,0.00285714285714286,0,0
"H",0,0,25,0.0714285714285714,0,0
"hopper",0,0,1,0.00285714285714286,0,0
"Idefix",0,0,1,0.00285714285714286,0,0
"Ivk",0,0,5,0.0142857142857143,0,0
"jockey",0,0,44,0.125714285714286,0,0
"mdg3",0,0,3,0.00857142857142857,0,0
"Nomad",0,0,4,0.0114285714285714,0,0
"pogo",0,0,17,0.0485714285714286,0,0
"Rt1a",0,0,1,0.00285714285714286,0,0
"Stalker4",0,0,1,0.00285714285714286,0,0
"Tirant",0,0,5,0.0142857142857143,0,0
