,true,Cigar1_mean,Cigar1_median,Cigar1_sd,Cigar1_IQR,Cigar2_mean,Cigar2_median,Cigar2_sd,Cigar2_IQR,Cigar3_mean,Cigar3_median,Cigar3_sd,Cigar3_IQR,Cigar4_mean,Cigar4_median,Cigar4_sd,Cigar4_IQR,Cigar5_mean,Cigar5_median,Cigar5_sd,Cigar5_IQR,Paired_mean,Paired_median,Paired_sd,Paired_IQR,Proper_Pair_mean,Proper_Pair_median,Proper_Pair_sd,Proper_Pair_IQR,Is_Read1_Unmapped_mean,Is_Read1_Unmapped_median,Is_Read1_Unmapped_sd,Is_Read1_Unmapped_IQR,Is_Read2_Unmapped_mean,Is_Read2_Unmapped_median,Is_Read2_Unmapped_sd,Is_Read2_Unmapped_IQR,Is_Read1_Rev_Comp_mean,Is_Read1_Rev_Comp_median,Is_Read1_Rev_Comp_sd,Is_Read1_Rev_Comp_IQR,Is_Read2_Rev_Comp_mean,Is_Read2_Rev_Comp_median,Is_Read2_Rev_Comp_sd,Is_Read2_Rev_Comp_IQR,Is_First_Read_mean,Is_First_Read_median,Is_First_Read_sd,Is_First_Read_IQR,Is_Second_Read_mean,Is_Second_Read_median,Is_Second_Read_sd,Is_Second_Read_IQR,Split_mean,Split_median,Split_sd,Split_IQR,Long_Insert_mean,Long_Insert_median,Long_Insert_sd,Long_Insert_IQR,Short_Insert_mean,Short_Insert_median,Short_Insert_sd,Short_Insert_IQR,Parallel_Read_mean,Parallel_Read_median,Parallel_Read_sd,Parallel_Read_IQR,Everted_Read_mean,Everted_Read_median,Everted_Read_sd,Everted_Read_IQR,Orphan_Read_mean,Orphan_Read_median,Orphan_Read_sd,Orphan_Read_IQR,Insert_Size_mean,Insert_Size_median,Insert_Size_sd,Insert_Size_IQR,Quality_mean,Quality_median,Quality_sd,Quality_IQR,TE_specific_Cigar1_mean,TE_specific_Cigar1_median,TE_specific_Cigar1_sd,TE_specific_Cigar1_IQR,TE_specific_Cigar2_mean,TE_specific_Cigar2_median,TE_specific_Cigar2_sd,TE_specific_Cigar2_IQR,TE_specific_Cigar3_mean,TE_specific_Cigar3_median,TE_specific_Cigar3_sd,TE_specific_Cigar3_IQR,TE_specific_Cigar4_mean,TE_specific_Cigar4_median,TE_specific_Cigar4_sd,TE_specific_Cigar4_IQR,TE_specific_Cigar5_mean,TE_specific_Cigar5_median,TE_specific_Cigar5_sd,TE_specific_Cigar5_IQR,TE_specific_Paired_mean,TE_specific_Paired_median,TE_specific_Paired_sd,TE_specific_Paired_IQR,TE_specific_Proper_Pair_mean,TE_specific_Proper_Pair_median,TE_specific_Proper_Pair_sd,TE_specific_Proper_Pair_IQR,TE_specific_Is_Read1_Unmapped_mean,TE_specific_Is_Read1_Unmapped_median,TE_specific_Is_Read1_Unmapped_sd,TE_specific_Is_Read1_Unmapped_IQR,TE_specific_Is_Read2_Unmapped_mean,TE_specific_Is_Read2_Unmapped_median,TE_specific_Is_Read2_Unmapped_sd,TE_specific_Is_Read2_Unmapped_IQR,TE_specific_Is_Read1_Rev_Comp_mean,TE_specific_Is_Read1_Rev_Comp_median,TE_specific_Is_Read1_Rev_Comp_sd,TE_specific_Is_Read1_Rev_Comp_IQR,TE_specific_Is_Read2_Rev_Comp_mean,TE_specific_Is_Read2_Rev_Comp_median,TE_specific_Is_Read2_Rev_Comp_sd,TE_specific_Is_Read2_Rev_Comp_IQR,TE_specific_Is_First_Read_mean,TE_specific_Is_First_Read_median,TE_specific_Is_First_Read_sd,TE_specific_Is_First_Read_IQR,TE_specific_Is_Second_Read_mean,TE_specific_Is_Second_Read_median,TE_specific_Is_Second_Read_sd,TE_specific_Is_Second_Read_IQR,TE_specific_Split_mean,TE_specific_Split_median,TE_specific_Split_sd,TE_specific_Split_IQR,TE_specific_Long_Insert_mean,TE_specific_Long_Insert_median,TE_specific_Long_Insert_sd,TE_specific_Long_Insert_IQR,TE_specific_Short_Insert_mean,TE_specific_Short_Insert_median,TE_specific_Short_Insert_sd,TE_specific_Short_Insert_IQR,TE_specific_Parallel_Read_mean,TE_specific_Parallel_Read_median,TE_specific_Parallel_Read_sd,TE_specific_Parallel_Read_IQR,TE_specific_Everted_Read_mean,TE_specific_Everted_Read_median,TE_specific_Everted_Read_sd,TE_specific_Everted_Read_IQR,TE_specific_Orphan_Read_mean,TE_specific_Orphan_Read_median,TE_specific_Orphan_Read_sd,TE_specific_Orphan_Read_IQR,TE_specific_Insert_Size_mean,TE_specific_Insert_Size_median,TE_specific_Insert_Size_sd,TE_specific_Insert_Size_IQR,TE_specific_Quality_mean,TE_specific_Quality_median,TE_specific_Quality_sd,TE_specific_Quality_IQR,read_length,insert_size
0,0,34.18721461187214,36.0,12.775203257444096,13.0,0.001141552511415525,0.0,0.03376757867065991,0.0,0.0,0.0,0.0,0.0,0.17922374429223745,0.0,0.9884388041619949,0.0,0.026255707762557076,0.0,0.15989479532631537,0.0,34.39383561643836,36.0,12.558408138311632,13.0,29.961187214611872,33.0,11.389516947940173,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.24200913242009,17.0,7.972175790269983,10.0,18.02054794520548,18.0,7.4238624066647,9.0,16.818493150684933,17.0,6.208436263217008,8.0,17.575342465753426,17.0,7.782651603316675,8.0,0.0,0.0,0.0,0.0,0.3681506849315068,0.0,0.703685182266573,1.0,16.885844748858446,18.0,8.020136221847666,10.0,0.7888127853881278,0.0,1.1467296985254936,1.0,8.659246575342467,9.0,3.8813429604511276,5.0,1.3093607305936072,0.0,2.057718302918472,2.0,341.0171232876712,0.0,989.7846173526284,0.0,2514430.1421232875,10949.0,5976925.165766285,145718.0,32.62157534246575,36.0,13.279918072123579,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1461187214611872,0.0,0.36748062983302254,0.0,0.0,0.0,0.0,0.0,32.76769406392694,36.0,13.370690776904857,14.0,30.590182648401825,34.0,13.653652712249967,17.5,0.0,0.0,0.0,0.0,0.091324200913242,0.0,0.3618415353718419,0.0,15.620433789954339,17.0,7.893721439726047,11.0,17.304223744292237,19.0,8.075162351319435,10.0,16.59874429223744,17.0,7.308394077632533,8.0,16.168949771689498,17.0,6.965996622356531,8.0,0.0,0.0,0.0,0.0,0.3378995433789954,0.0,0.8059296053137971,0.0,16.077625570776256,18.0,8.311344605814778,10.5,1.105593607305936,0.0,1.7944398495513199,1.0,8.69406392694064,9.0,4.728352393932812,6.0,1.5936073059360731,0.0,2.3663653903951234,2.0,0.0,0.0,0.0,0.0,7924416.6837899545,11586.0,14946806.174521832,8545501.5,54,287
1,0,29.976254480286737,30.0,11.329730244130873,15.0,0.006048387096774193,0.0,0.08037308494848816,0.0,0.0015681003584229391,0.0,0.04487393556981578,0.0,0.18884408602150538,0.0,1.2710419303052347,0.0,0.0,0.0,0.0,0.0,30.17271505376344,30.0,11.376477775266622,15.0,28.38978494623656,29.0,10.804446331359538,15.0,0.0,0.0,0.0,0.0,0.036290322580645164,0.0,0.1870115907307295,0.0,15.368727598566307,15.0,6.9007796942202875,8.0,15.028001792114695,15.0,7.278594269337397,10.0,15.140681003584229,15.0,6.816850898109661,9.0,15.032034050179211,15.0,5.826424847863496,8.0,0.0,0.0,0.0,0.0,0.2524641577060932,0.0,0.6995378809780177,0.0,15.621863799283155,16.0,6.781334182920481,9.0,0.7163978494623656,0.0,1.3932247473234587,1.0,7.268593189964157,7.0,4.069043372920263,6.0,0.9865591397849462,0.0,1.9517702623251414,1.0,82.72491039426524,0.0,476.14127377004144,0.0,3287194.006496416,9506.0,10134922.28833558,5880.0,28.22423835125448,28.0,11.710024438871137,16.0,0.005376344086021506,0.0,0.0818017422295857,0.0,0.0008960573476702509,0.0,0.02992080261122581,0.0,0.08736559139784947,0.0,0.40877675598718055,0.0,0.0,0.0,0.0,0.0,28.31787634408602,28.0,11.651160331363846,16.0,27.323252688172044,27.0,11.60396501698278,16.0,0.0,0.0,0.0,0.0,0.06025985663082437,0.0,0.27872200124839047,0.0,14.42383512544803,15.0,6.96306988914086,9.0,13.993055555555555,15.0,7.132432373295774,11.0,14.182347670250897,14.0,6.441902772808864,8.0,14.135528673835125,13.0,6.340067959231386,9.0,0.0,0.0,0.0,0.0,0.22849462365591397,0.0,0.5427378745847109,0.0,14.67383512544803,15.0,7.088456463921941,9.0,0.5387544802867383,0.0,1.2401308856548958,1.0,6.560931899641577,7.0,3.7692583897873613,5.0,0.7903225806451613,0.0,1.7038685384442513,1.0,9.056899641577061,0.0,37.10317986344534,0.0,2492226.9890232976,9104.5,6965868.106972138,5803.0,54,287
2,2,40.05842696629213,41.0,13.647033747662332,11.0,0.12359550561797752,0.0,1.7502502210782023,0.0,0.0,0.0,0.0,0.0,0.9943820224719101,0.0,3.6113074463463173,0.0,0.0,0.0,0.0,0.0,41.17640449438202,41.0,12.237045638091894,12.0,28.479775280898878,27.0,10.550474506345763,16.0,0.0,0.0,0.0,0.0,1.0932584269662922,0.0,2.6353814619651246,0.0,19.51685393258427,19.5,8.843473260871148,12.0,20.469662921348316,20.0,10.619447969046076,14.0,20.06741573033708,20.0,6.685381928042519,8.0,21.108988764044945,21.0,8.010837328752777,8.0,0.0,0.0,0.0,0.0,0.48764044943820223,0.0,0.8678813444398745,1.0,23.625842696629213,21.0,12.535899264004883,22.5,5.1730337078651685,2.0,6.536101371130595,10.0,7.466292134831461,7.0,5.012735327664831,9.0,10.330337078651686,9.0,10.175476186238905,17.0,2450.1483146067417,2460.0,738.0678559761625,656.0,14767349.956179775,8638421.0,17226188.546867646,27155051.0,11.269662921348315,7.0,12.230339917317078,20.0,0.07640449438202247,0.0,1.1371186207835182,0.0,0.0,0.0,0.0,0.0,0.2573033707865168,0.0,1.2076895613134577,0.0,0.0,0.0,0.0,0.0,11.603370786516853,8.0,12.259322977789324,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.221348314606741,0.0,11.52960987197855,9.0,5.464044943820225,3.0,6.11347282079215,10.0,5.568539325842696,5.0,5.553450096902876,10.0,6.034831460674157,3.0,7.422704330521059,11.0,0.0,0.0,0.0,0.0,0.1258426966292135,0.0,0.39363705689253947,0.0,8.998876404494382,6.0,9.718799047068954,17.0,5.353932584269663,2.0,6.118080704033995,10.0,0.24044943820224718,0.0,0.7499391887142232,0.0,8.998876404494382,6.0,9.718799047068954,17.0,685.9640449438202,480.0,723.8944463758171,1200.0,16605558.834831461,8621599.0,19787067.545900322,34508783.0,54,287
3,2,37.205234159779614,36.0,16.407450606766695,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7947658402203857,0.0,5.751083274433324,0.0,0.06611570247933884,0.0,0.3575753331038667,0.0,39.06611570247934,37.0,15.326601698451505,18.0,27.43801652892562,28.0,11.02905696074025,17.5,0.0,0.0,0.0,0.0,0.29614325068870523,0.0,0.531810672184649,1.0,15.867768595041323,16.0,8.522156003894567,7.0,19.84159779614325,16.5,11.261772765497586,15.0,20.431129476584022,19.0,11.07848636578073,11.0,18.634986225895318,19.0,6.877747019422214,8.0,0.0,0.0,0.0,0.0,0.22451790633608815,0.0,0.5434351270231517,0.0,23.274104683195592,18.0,17.9350854713624,18.0,6.099173553719008,5.0,6.523834190116043,10.0,6.816804407713499,7.0,5.647671329059659,10.0,9.497245179063361,7.0,10.060936546942099,17.0,2311.1143250688706,2220.0,925.0332102675139,1035.0,13778658.161157025,6998222.0,16385435.952503817,23881742.5,11.951790633608816,10.0,11.391318565772336,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622589531680441,0.0,1.5074314969733198,0.0,0.03305785123966942,0.0,0.17878766655193337,0.0,12.347107438016529,11.0,11.269459993614856,17.0,0.29476584022038566,0.0,0.5925619194352519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.140495867768595,0.0,6.7350149369096535,7.0,6.0606060606060606,5.0,5.886124756277653,11.0,7.096418732782369,6.0,7.575628849394704,10.0,5.25068870523416,5.0,4.372839829655648,8.0,0.0,0.0,0.0,0.0,0.14738292011019283,0.0,0.3544872282184301,0.0,10.651515151515152,9.0,10.014097042549276,16.0,6.134986225895317,6.0,6.038532303691882,9.0,0.29476584022038566,0.0,0.5925619194352518,0.0,8.950413223140496,8.0,8.513497214157795,13.0,724.4380165289256,654.0,678.300290966724,1094.0,22442131.05785124,13911282.0,23125477.96243958,42423719.0,54,287
4,2,46.56375131717598,46.0,11.636639251604473,11.0,0.004214963119072708,0.0,0.07940200730783774,0.0,0.006322444678609062,0.0,0.10245698849257524,0.0,1.0663856691253952,0.0,4.781728671332525,0.0,0.0,0.0,0.0,0.0,47.64067439409905,47.0,12.028525542713234,12.0,36.79557428872497,37.0,12.370992508694336,18.0,0.0,0.0,0.0,0.0,0.5637513171759747,0.0,1.2826938547800357,0.0,24.685985247629084,24.0,8.898113343783217,13.0,23.97049525816649,20.0,12.483209961602281,16.0,24.7650158061117,25.0,6.91271781363001,9.0,22.875658587987356,21.0,7.4858016439287995,9.0,0.0,0.0,0.0,0.0,0.5089567966280295,0.0,0.9347375660670352,1.0,24.749209694415175,24.0,9.181366105831168,13.0,3.9567966280295046,3.0,4.324462806957155,6.0,8.910432033719704,9.0,5.2624869537835455,9.0,5.260273972602739,2.0,6.29070201593468,11.0,2848.131717597471,2820.0,707.4817006315085,740.0,42637421.81032666,17461644.0,50320952.07052418,77505441.0,10.243414120126449,10.0,9.914426872437202,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37829293993677554,0.0,1.8836529412611855,0.0,0.0,0.0,0.0,0.0,10.621707060063224,10.0,10.303057585528135,18.0,1.0200210748155953,0.0,2.308781878266207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.874604847207587,0.0,9.189153704955412,12.0,4.912539515279241,2.0,5.775729603692657,9.0,5.87881981032666,6.0,5.204466781187913,11.0,4.742887249736564,3.0,5.507850943110517,7.0,0.0,0.0,0.0,0.0,0.11275026343519494,0.0,0.3162872769026429,0.0,5.985247629083245,6.0,6.115312145878159,11.0,3.214963119072708,2.0,3.528918246013734,6.0,1.1875658587987354,0.0,2.14800450859636,2.0,4.345626975763962,3.0,5.140864440841026,8.0,628.1106427818756,600.0,604.3807003549557,1080.0,43480370.642781876,11321507.0,52093418.02927321,69314022.0,54,287
5,2,31.047775947281714,35.0,12.946322746182318,13.0,0.0,0.0,0.0,0.0,0.0032948929159802307,0.0,0.08111060049483473,0.0,1.1054365733113674,0.0,3.0840109688830912,0.0,0.0,0.0,0.0,0.0,32.15650741350906,35.0,11.130063166419824,13.0,26.88797364085667,28.0,10.83897280551585,18.0,0.0,0.0,0.0,0.0,0.08896210873146623,0.0,0.2846890442948534,0.0,16.5667215815486,17.0,9.143470025758246,12.0,12.446457990115322,12.0,7.128383746314877,13.0,16.434925864909392,17.0,5.1710733213076026,6.5,15.721581548599671,17.0,7.143844169987415,12.0,0.0,0.0,0.0,0.0,0.35584843492586493,0.0,0.9336618471924525,0.0,20.255354200988467,20.0,11.602804587595854,16.0,3.5057660626029654,3.0,3.4990537244646727,6.0,5.14497528830313,4.0,4.550873365973727,8.0,3.9028006589785833,3.0,3.8891699497013743,7.0,1909.652388797364,2100.0,666.5831530456476,809.0,17910244.148270182,12828.0,25891583.221536197,33028606.0,5.927512355848435,6.0,5.182789054008291,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09390444810543658,0.0,0.6204205493740925,0.0,0.0,0.0,0.0,0.0,6.021416803953872,6.0,5.112043083113209,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2108731466227347,0.0,4.8967945399460335,0.0,2.212520593080725,2.0,2.597548217802677,3.0,2.5749588138385504,2.0,2.6330616771484454,4.0,3.4464579901153214,3.0,3.033587348142752,6.0,0.0,0.0,0.0,0.0,0.08896210873146623,0.0,0.2846890442948534,0.0,5.047775947281713,5.0,4.592023472021109,8.0,3.7166392092257,3.0,3.3117189810630787,7.0,0.17792421746293247,0.0,0.3824489381644765,0.0,4.869851729818781,5.0,4.5861187099233,7.0,346.82537067545303,360.0,298.2776408871417,504.0,13185318.095551895,8703974.0,13904585.486797329,28333087.0,54,287
6,2,37.802494802494806,38.0,11.730536319429264,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3014553014553014,0.0,4.573331576374219,0.0,0.0,0.0,0.0,0.0,39.103950103950105,39.0,11.10072973335064,15.0,30.29209979209979,30.0,9.624710485610954,14.0,0.0,0.0,0.0,0.0,0.11122661122661123,0.0,0.416772512320247,0.0,18.886694386694387,19.0,6.761042379879427,10.0,20.825363825363826,22.0,8.652848612381668,11.0,20.16735966735967,19.0,6.940349878659357,11.0,18.936590436590436,19.0,6.405326202426597,8.0,0.0,0.0,0.0,0.0,0.44490644490644493,0.0,0.8128260046950806,1.0,22.738045738045738,22.0,10.62271071220745,12.0,3.2952182952182953,1.0,4.065492685217011,5.0,8.85031185031185,9.0,4.795446222882075,6.0,7.417879417879418,7.0,6.647026790204858,11.0,2305.4012474012475,2280.0,670.4154459628404,913.0,10682284.685031185,1478155.5,14252560.431685276,16236386.0,8.883575883575883,8.0,8.428059294455215,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5436590436590436,0.0,2.317488945079976,0.0,0.0,0.0,0.0,0.0,9.427234927234927,8.0,8.849950752467981,16.0,0.893970893970894,0.0,1.8121744187282207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.795218295218295,0.0,7.768657242236755,8.0,5.298336798336798,3.0,5.284364547253687,10.0,5.1871101871101875,4.0,5.194383678022986,8.0,4.24012474012474,3.0,4.335648678651141,9.0,0.0,0.0,0.0,0.0,0.11226611226611227,0.0,0.3156935734264556,0.0,8.307692307692308,8.0,7.794856977408684,14.0,3.235966735966736,1.0,4.211339453259201,5.0,0.22453222453222454,0.0,0.4172738964742885,0.0,7.137214137214137,6.0,6.684910843639524,12.0,532.6444906444906,480.0,503.0673671587141,958.0,10272502.514553014,310.0,15504261.041081969,22859432.0,54,287
7,2,36.73162939297124,37.0,11.112665859257092,14.0,0.13312034078807242,0.0,1.2513506898081674,0.0,0.2066027689030884,0.0,1.8780496144816106,0.0,1.3556975505857296,0.0,3.923278743629828,0.0,0.0,0.0,0.0,0.0,38.42705005324814,38.0,10.710825440023442,13.0,26.95101171458999,26.0,10.558006846043344,17.0,0.0,0.0,0.0,0.0,0.39829605963791265,0.0,0.6868902262000991,1.0,18.9531416400426,18.0,7.264509423137383,11.0,18.08626198083067,16.0,9.819457156552184,9.0,19.03301384451544,19.0,6.049668098414969,8.5,19.394036208732693,19.0,6.979981004790051,10.0,0.0,0.0,0.0,0.0,0.45686900958466453,0.0,0.9236008587083455,1.0,24.54845580404686,23.0,11.159724540599631,15.5,4.263045793397231,3.0,5.109662971847447,7.0,6.598509052183173,6.0,4.611607098918509,6.0,9.011714589989351,7.0,8.640671537641998,14.0,2260.3716719914805,2280.0,616.7243187106462,780.0,12780049.547390841,13353.0,19085988.808518283,21043508.0,9.878594249201278,7.0,10.479258876822552,17.0,0.051118210862619806,0.0,0.5514491759844453,0.0,0.06922257720979766,0.0,0.6465279863604911,0.0,0.33759318423855167,0.0,1.5431262131424326,0.0,0.0,0.0,0.0,0.0,10.336528221512246,8.0,10.590331409505302,18.0,0.34291799787007454,0.0,0.9262359872255959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.168264110756123,0.0,6.569641207218805,9.0,5.094781682641107,3.0,5.299804528539655,9.0,4.74653887113951,4.0,5.065458236657132,8.0,5.589989350372737,2.0,6.181247698448732,10.0,0.0,0.0,0.0,0.0,0.11501597444089456,0.0,0.3190412200081771,0.0,8.792332268370608,7.0,9.075033616224466,15.0,4.749733759318424,2.0,5.894907409700809,8.0,0.45686900958466453,0.0,0.7960252663000402,1.0,7.753993610223642,6.0,8.147088474494907,13.0,587.3876464323748,420.0,622.9007367939996,959.0,15595492.403620873,6676720.0,18315226.1863659,26587110.0,54,287
8,0,22.21832884097035,21.0,10.478891402063384,8.0,0.0023103581055063534,0.0,0.04801062747903504,0.0,0.015402387370042356,0.0,0.5548067355973162,0.0,0.3357720446669234,0.0,1.8685330552628991,0.0,0.027724297266076243,0.0,0.287061413532594,0.0,22.599537928378897,22.0,10.471986567716627,9.0,19.038120908740854,20.0,6.641233202367073,10.0,0.0,0.0,0.0,0.0,0.10242587601078167,0.0,0.3032075459717414,0.0,11.784751636503659,11.0,5.94126936092794,6.0,11.125914516750097,10.0,6.337079577489723,6.0,11.435117443203696,10.0,6.608716350530071,6.0,11.164420485175203,11.0,5.229017422129684,6.0,0.0,0.0,0.0,0.0,0.2071621101270697,0.0,0.5141609554993892,0.0,11.762418174817096,11.0,5.940353376194316,6.0,0.5367731998459762,0.0,1.373568938414484,1.0,5.500192529842126,5.0,3.5020896948727342,4.0,0.7212167886022334,0.0,1.6708514859441095,1.0,285.49133615710434,0.0,850.332262644737,0.0,2105529.067000385,6474.0,5494134.392579837,39753.0,16.59645745090489,17.0,8.382580159954482,10.0,0.0,0.0,0.0,0.0,0.0007701193685021178,0.0,0.027740336779865808,0.0,0.08471313053523297,0.0,0.3417790277997782,0.0,0.0,0.0,0.0,0.0,16.681940700808624,17.0,8.375369646699516,10.0,15.612629957643435,17.0,8.639449457133704,12.0,0.0,0.0,0.0,0.0,0.041586445899114366,0.0,0.1996422135135613,0.0,8.543319214478243,9.0,4.821830435019282,7.0,8.274547554871004,9.0,5.216057653856467,7.0,8.191759722757027,9.0,4.617377885340216,6.0,8.490180978051598,9.0,4.884850399457788,6.0,0.0,0.0,0.0,0.0,0.18713900654601462,0.0,0.5470016436528229,0.0,8.667693492491336,9.0,5.027617967529351,7.0,0.4686176357335387,0.0,1.1156968632591406,1.0,3.737004235656527,3.0,3.0153869229873034,4.0,0.7855217558721602,0.0,1.6273480554265267,1.0,0.0,0.0,0.0,0.0,2073651.770504428,5500.0,6340131.470478077,4043.0,54,287
9,0,27.344017094017094,25.0,15.583083999641365,21.0,0.0,0.0,0.0,0.0,0.08547008547008547,0.0,1.3046442326900636,0.0,1.0747863247863247,0.0,3.5890331765500707,0.0,0.0,0.0,0.0,0.0,28.504273504273506,26.0,14.886105453855787,20.0,16.15811965811966,16.0,7.273400071566705,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.482905982905983,12.0,8.007323470554999,11.0,16.822649572649574,15.0,7.586013884444086,11.0,14.102564102564102,11.0,9.114077226016263,10.0,14.401709401709402,14.0,7.453915197988269,12.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.47383893878400846,0.0,13.134615384615385,10.0,8.148792479206046,12.0,2.0277777777777777,1.0,2.6135081741326753,3.0,7.346153846153846,6.0,4.3657375888021575,3.0,2.826923076923077,3.0,2.9601992198893083,5.0,1057.5149572649573,27.0,1301.6338868580929,2146.0,5355103.264957265,62223.0,9122832.474983362,7660634.5,0.7649572649572649,1.0,0.8192988704980357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03205128205128205,0.0,0.17613630338505235,0.0,0.0,0.0,0.0,0.0,0.7970085470085471,1.0,0.808231968222529,1.0,0.33974358974358976,0.0,0.5084347717847033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45726495726495725,0.0,0.6668994772104944,1.0,0.4551282051282051,0.0,0.6372646076353541,1.0,0.4551282051282051,0.0,0.5312010506512744,1.0,0.3418803418803419,0.0,0.4743397239491148,1.0,0.0,0.0,0.0,0.0,0.11324786324786325,0.0,0.316895542281138,0.0,0.5705128205128205,0.0,0.737680988835029,1.0,0.3418803418803419,0.0,0.5091033371567669,1.0,0.0,0.0,0.0,0.0,0.45726495726495725,0.0,0.7398101210903602,1.0,0.0,0.0,0.0,0.0,90.25854700854701,0.0,135.22777331159415,262.0,54,287
